Metacritic,Recomendaciones,Propietarios,Jugadores,Precio
72,1262,730312,533027,14.99
63,1707,428287,212529,9.99
79,1541,376813,175225,9.99
81,0,338791,170741,2.49
74,405,165719,84832,9.99
80,247,177915,94338,14.99
38,169,181502,27261,2.49
67,156,132539,23136,4.99
59,0,129849,17576,4.99
66,590,81963,29055,4.99
0,1692,305074,260595,9.99
0,0,12196,2690,4.99
0,0,49859,16500,9.99
64,0,25109,10761,9.99
77,145,34794,16500,9.99
0,0,49680,10582,8.99
85,2748,725828,406944,9.99
0,444,289291,76044,4.99
79,315,169665,106354,4.99
68,2450,1110174,719012,14.99
76,0,0,0,19.99
87,766,711480,180067,99.99
85,445,711480,102050,99.99
72,11601,1974460,1395340,39.99
0,1441,512043,167154,4.99
79,1406,453754,267410,0.0
0,0,3587,1614,2.99
0,0,21881,6995,19.99
0,0,2870,2152,9.99
80,4515,851731,504152,19.99
0,289,74609,32821,9.99
70,467,354036,96131,9.99
77,229,88419,51473,9.99
52,656,211094,157648,14.99
0,0,13631,8250,6.99
0,0,8967,7353,6.99
0,0,15245,7891,6.99
0,325,282655,140072,2.99
75,1266,216834,175583,19.99
76,1677,149040,106534,29.99
0,19250,3398675,3068492,39.99
0,19250,3398675,2921963,39.99
81,11095,3628063,3441001,39.99
81,11095,3628063,3041769,39.99
74,17631,3643666,3083199,9.99
63,569,282117,115680,9.99
81,15639,4710079,3083019,14.99
51,398,59903,46990,8.99
76,0,13989,7712,6.99
0,0,43223,30310,4.99
67,991,625392,201410,9.99
78,1545,300411,198899,19.99
57,352,44479,21522,9.99
70,147,49680,29593,19.99
0,259,33897,18473,4.99
78,2262,480836,380939,19.99
63,921,163387,115860,19.99
0,7875,751295,642072,29.99
66,901,249296,147425,19.99
73,0,68870,44120,6.99
0,0,17397,3766,2.99
0,129,93800,19549,6.99
0,208,109224,38381,4.99
68,377,257008,60441,9.99
75,353,118191,46452,7.99
67,176,102767,16321,7.99
82,1302,342020,184192,12.99
80,515,317987,83577,12.99
0,217,95235,26544,9.99
50,581,135230,93979,3.74
71,132,121061,20805,7.99
48,138,97387,23495,9.99
0,0,29593,20087,4.99
75,142,43582,22598,12.99
0,513,44120,29234,3.99
0,0,1076,897,9.99
0,0,897,717,9.99
0,0,1614,1347,9.99
87,5375,1329160,623778,19.99
72,3099,1623652,600462,19.99
72,3099,1623652,474380,19.99
88,17808,3967572,2387502,9.99
86,8664,0,0,19.99
88,4337,872536,592930,19.99
78,43319,2434133,2222141,19.99
68,4221,1285398,870742,9.99
89,86362,6969346,6263964,19.99
45,6035,434385,362645,29.99
70,5250,573022,476352,9.99
0,231,78734,50218,4.99
77,19403,2541742,1989704,29.99
76,19624,1681044,1141560,29.99
72,138,87523,47886,9.99
83,7445,2506769,1464748,19.99
83,7445,44658,39457,19.99
0,0,9685,7353,9.99
90,27546,0,0,9.99
70,2489,816041,623060,4.99
75,2775,1735028,705023,19.99
74,6203,1137435,918987,29.99
84,30053,3952506,3180944,14.99
0,0,32104,19908,2.99
85,14322,3235825,1801925,19.99
0,798,309737,120882,5.99
57,454,117833,41609,9.99
76,132,32642,19370,5.99
62,152,114784,56316,4.99
54,4451,1051347,774790,19.99
71,241,108506,38381,9.99
73,0,41609,22957,9.99
79,137,115501,24750,9.99
75,252,84115,37843,9.99
0,0,31745,11120,9.99
0,0,26902,10402,9.99
0,0,133795,14348,0.0
38,105,9326,8071,9.99
0,215,45017,20984,6.99
0,385,89675,82501,4.99
65,691,396004,192801,9.99
59,106,27261,8967,9.99
82,744,314220,257008,4.99
